,service_id,date,exception_type
0,1,20161031,1
1,9,20161031,1
2,25,20161031,1
3,28,20161031,1
4,40,20161031,1
5,65,20161031,1
6,4,20161101,1
7,22,20161101,1
8,33,20161101,1
9,40,20161101,1
10,51,20161101,1
11,62,20161101,1
12,6,20161102,1
13,19,20161102,1
14,20,20161102,1
15,21,20161102,1
16,23,20161102,1
17,25,20161102,1
18,28,20161102,1
19,32,20161102,1
20,34,20161102,1
21,36,20161102,1
22,37,20161102,1
23,38,20161102,1
24,39,20161102,1
25,40,20161102,1
26,49,20161102,1
27,51,20161102,1
28,52,20161102,1
29,53,20161102,1
30,55,20161102,1
31,57,20161102,1
32,59,20161102,1
33,66,20161102,1
34,67,20161102,1
35,68,20161102,1
36,71,20161102,1
37,72,20161102,1
38,8,20161103,1
39,11,20161103,1
40,14,20161103,1
41,16,20161103,1
42,17,20161103,1
43,18,20161103,1
44,19,20161103,1
45,20,20161103,1
46,21,20161103,1
47,23,20161103,1
48,25,20161103,1
49,28,20161103,1
50,34,20161103,1
51,37,20161103,1
52,38,20161103,1
53,40,20161103,1
54,41,20161103,1
55,42,20161103,1
56,43,20161103,1
57,45,20161103,1
58,48,20161103,1
59,51,20161103,1
60,52,20161103,1
61,53,20161103,1
62,55,20161103,1
63,59,20161103,1
64,60,20161103,1
65,68,20161103,1
66,71,20161103,1
67,72,20161103,1
68,7,20161104,1
69,8,20161104,1
70,11,20161104,1
71,14,20161104,1
72,16,20161104,1
73,17,20161104,1
74,18,20161104,1
75,19,20161104,1
76,20,20161104,1
77,21,20161104,1
78,23,20161104,1
79,25,20161104,1
80,28,20161104,1
81,31,20161104,1
82,32,20161104,1
83,37,20161104,1
84,40,20161104,1
85,42,20161104,1
86,43,20161104,1
87,44,20161104,1
88,49,20161104,1
89,50,20161104,1
90,51,20161104,1
91,52,20161104,1
92,53,20161104,1
93,56,20161104,1
94,66,20161104,1
95,71,20161104,1
96,73,20161104,1
97,3,20161105,1
98,7,20161105,1
99,18,20161105,1
100,20,20161105,1
101,23,20161105,1
102,26,20161105,1
103,28,20161105,1
104,40,20161105,1
105,51,20161105,1
106,52,20161105,1
107,62,20161105,1
108,67,20161105,1
109,73,20161105,1
110,10,20161106,1
111,22,20161106,1
112,33,20161106,1
113,40,20161106,1
114,51,20161106,1
115,62,20161106,1
116,8,20161107,1
117,11,20161107,1
118,13,20161107,1
119,14,20161107,1
120,17,20161107,1
121,19,20161107,1
122,20,20161107,1
123,21,20161107,1
124,23,20161107,1
125,25,20161107,1
126,28,20161107,1
127,32,20161107,1
128,34,20161107,1
129,36,20161107,1
130,40,20161107,1
131,43,20161107,1
132,44,20161107,1
133,51,20161107,1
134,55,20161107,1
135,56,20161107,1
136,60,20161107,1
137,65,20161107,1
138,68,20161107,1
139,71,20161107,1
140,73,20161107,1
141,5,20161108,1
142,8,20161108,1
143,14,20161108,1
144,16,20161108,1
145,17,20161108,1
146,19,20161108,1
147,20,20161108,1
148,21,20161108,1
149,23,20161108,1
150,25,20161108,1
151,28,20161108,1
152,34,20161108,1
153,35,20161108,1
154,37,20161108,1
155,40,20161108,1
156,42,20161108,1
157,43,20161108,1
158,45,20161108,1
159,47,20161108,1
160,49,20161108,1
161,51,20161108,1
162,52,20161108,1
163,53,20161108,1
164,56,20161108,1
165,59,20161108,1
166,60,20161108,1
167,68,20161108,1
168,72,20161108,1
169,8,20161109,1
170,11,20161109,1
171,15,20161109,1
172,16,20161109,1
173,17,20161109,1
174,19,20161109,1
175,20,20161109,1
176,21,20161109,1
177,23,20161109,1
178,25,20161109,1
179,28,20161109,1
180,32,20161109,1
181,34,20161109,1
182,36,20161109,1
183,37,20161109,1
184,38,20161109,1
185,39,20161109,1
186,40,20161109,1
187,47,20161109,1
188,49,20161109,1
189,51,20161109,1
190,52,20161109,1
191,53,20161109,1
192,55,20161109,1
193,57,20161109,1
194,59,20161109,1
195,66,20161109,1
196,67,20161109,1
197,68,20161109,1
198,71,20161109,1
199,72,20161109,1
200,8,20161110,1
201,11,20161110,1
202,14,20161110,1
203,16,20161110,1
204,17,20161110,1
205,19,20161110,1
206,20,20161110,1
207,21,20161110,1
208,23,20161110,1
209,25,20161110,1
210,28,20161110,1
211,34,20161110,1
212,37,20161110,1
213,38,20161110,1
214,40,20161110,1
215,41,20161110,1
216,42,20161110,1
217,43,20161110,1
218,45,20161110,1
219,47,20161110,1
220,48,20161110,1
221,51,20161110,1
222,52,20161110,1
223,53,20161110,1
224,55,20161110,1
225,59,20161110,1
226,60,20161110,1
227,68,20161110,1
228,71,20161110,1
229,72,20161110,1
230,8,20161111,1
231,9,20161111,1
232,11,20161111,1
233,14,20161111,1
234,16,20161111,1
235,17,20161111,1
236,19,20161111,1
237,20,20161111,1
238,21,20161111,1
239,23,20161111,1
240,25,20161111,1
241,28,20161111,1
242,31,20161111,1
243,32,20161111,1
244,37,20161111,1
245,40,20161111,1
246,42,20161111,1
247,43,20161111,1
248,44,20161111,1
249,47,20161111,1
250,49,20161111,1
251,50,20161111,1
252,51,20161111,1
253,52,20161111,1
254,53,20161111,1
255,56,20161111,1
256,66,20161111,1
257,71,20161111,1
258,73,20161111,1
259,3,20161112,1
260,9,20161112,1
261,20,20161112,1
262,23,20161112,1
263,26,20161112,1
264,28,20161112,1
265,40,20161112,1
266,47,20161112,1
267,51,20161112,1
268,52,20161112,1
269,62,20161112,1
270,67,20161112,1
271,73,20161112,1
272,2,20161113,1
273,22,20161113,1
274,33,20161113,1
275,40,20161113,1
276,51,20161113,1
277,62,20161113,1
278,11,20161114,1
279,12,20161114,1
280,13,20161114,1
281,14,20161114,1
282,17,20161114,1
283,19,20161114,1
284,20,20161114,1
285,21,20161114,1
286,23,20161114,1
287,25,20161114,1
288,28,20161114,1
289,32,20161114,1
290,34,20161114,1
291,36,20161114,1
292,40,20161114,1
293,43,20161114,1
294,44,20161114,1
295,51,20161114,1
296,55,20161114,1
297,56,20161114,1
298,60,20161114,1
299,65,20161114,1
300,68,20161114,1
301,71,20161114,1
302,73,20161114,1
303,5,20161115,1
304,12,20161115,1
305,14,20161115,1
306,16,20161115,1
307,17,20161115,1
308,19,20161115,1
309,20,20161115,1
310,21,20161115,1
311,23,20161115,1
312,25,20161115,1
313,28,20161115,1
314,34,20161115,1
315,35,20161115,1
316,37,20161115,1
317,40,20161115,1
318,42,20161115,1
319,43,20161115,1
320,45,20161115,1
321,47,20161115,1
322,49,20161115,1
323,51,20161115,1
324,52,20161115,1
325,53,20161115,1
326,56,20161115,1
327,59,20161115,1
328,60,20161115,1
329,68,20161115,1
330,72,20161115,1
331,11,20161116,1
332,12,20161116,1
333,15,20161116,1
334,16,20161116,1
335,17,20161116,1
336,19,20161116,1
337,20,20161116,1
338,21,20161116,1
339,23,20161116,1
340,25,20161116,1
341,28,20161116,1
342,32,20161116,1
343,34,20161116,1
344,36,20161116,1
345,37,20161116,1
346,38,20161116,1
347,39,20161116,1
348,40,20161116,1
349,47,20161116,1
350,49,20161116,1
351,51,20161116,1
352,52,20161116,1
353,53,20161116,1
354,55,20161116,1
355,57,20161116,1
