,route_id,service_id,trip_id,trip_headsign,shape_id
0,542,17,85227,SABOTINO CAP.,1640
1,542,4,85549,SABOTINO CAP.,1640
2,542,17,85372,SABOTINO CAP.,1640
3,542,6,85195,SABOTINO CAP.,1640
4,542,4,85068,SABOTINO CAP.,1640
5,542,6,85424,SABOTINO CAP.,1640
6,542,3,84966,SABOTINO CAP.,1640
7,542,1,85511,SABOTINO CAP.,1640
8,542,2,85048,SABOTINO CAP.,1640
9,542,17,85378,SABOTINO CAP.,1640
10,542,6,85427,SABOTINO CAP.,1640
11,542,17,85368,SABOTINO CAP.,1640
12,542,6,85139,SABOTINO CAP.,1640
13,542,6,85430,SABOTINO CAP.,1640
14,542,3,85562,SABOTINO CAP.,1640
15,542,1,85467,SABOTINO CAP.,1640
16,542,3,85443,SABOTINO CAP.,1640
17,542,6,85422,SABOTINO CAP.,1640
18,542,17,85386,SABOTINO CAP.,1640
19,542,1,85323,SABOTINO CAP.,1640
20,542,6,85204,SABOTINO CAP.,1640
21,542,2,85072,SABOTINO CAP.,1640
22,542,6,85409,SABOTINO CAP.,1640
23,542,1,85358,SABOTINO CAP.,1640
24,542,2,85112,SABOTINO CAP.,1640
25,542,1,85345,SABOTINO CAP.,1640
26,542,1,85519,SABOTINO CAP.,1640
27,542,4,85544,SABOTINO CAP.,1640
28,542,4,85101,SABOTINO CAP.,1640
29,542,1,85320,SABOTINO CAP.,1640
30,542,4,84936,SABOTINO CAP.,1640
31,542,6,85441,SABOTINO CAP.,1640
32,542,4,84946,SABOTINO CAP.,1640
33,542,17,85396,SABOTINO CAP.,1640
34,542,17,85228,SABOTINO CAP.,1640
35,542,3,84992,SABOTINO CAP.,1640
36,542,1,85307,SABOTINO CAP.,1640
37,542,1,85348,SABOTINO CAP.,1640
38,542,4,85069,SABOTINO CAP.,1640
39,542,6,85474,SABOTINO CAP.,1640
40,542,6,85221,SABOTINO CAP.,1640
41,542,17,85376,SABOTINO CAP.,1640
42,542,4,84927,SABOTINO CAP.,1640
43,542,2,85073,SABOTINO CAP.,1640
44,542,3,85552,SABOTINO CAP.,1640
45,542,4,84909,SABOTINO CAP.,1640
46,542,6,85213,SABOTINO CAP.,1640
47,542,1,85330,SABOTINO CAP.,1640
48,542,1,85517,SABOTINO CAP.,1640
49,542,6,85197,SABOTINO CAP.,1640
50,542,6,85199,SABOTINO CAP.,1640
51,542,6,85202,SABOTINO CAP.,1640
52,542,17,85532,SABOTINO CAP.,1640
53,542,2,85039,SABOTINO CAP.,1640
54,542,2,85109,SABOTINO CAP.,1640
55,542,6,85138,SABOTINO CAP.,1640
56,542,6,85401,SABOTINO CAP.,1640
57,542,1,85303,SABOTINO CAP.,1640
58,542,1,85347,SABOTINO CAP.,1640
59,542,6,85537,SABOTINO CAP.,1640
60,542,1,85351,SABOTINO CAP.,1640
61,542,4,85104,SABOTINO CAP.,1640
62,542,6,85421,SABOTINO CAP.,1640
63,542,2,85014,SABOTINO CAP.,1640
64,542,2,85012,SABOTINO CAP.,1640
65,542,17,85185,SABOTINO CAP.,1640
66,542,6,85137,SABOTINO CAP.,1640
67,542,1,85322,SABOTINO CAP.,1640
68,542,1,85302,SABOTINO CAP.,1640
69,542,2,85030,SABOTINO CAP.,1640
70,542,1,85301,SABOTINO CAP.,1640
71,542,6,85436,SABOTINO CAP.,1640
72,542,17,85364,SABOTINO CAP.,1640
73,542,6,85150,SABOTINO CAP.,1640
74,542,6,85542,SABOTINO CAP.,1640
75,542,17,85230,SABOTINO CAP.,1640
76,542,2,85006,SABOTINO CAP.,1640
77,542,3,85458,SABOTINO CAP.,1640
78,542,3,84986,SABOTINO CAP.,1640
79,542,6,85208,SABOTINO CAP.,1640
80,542,3,85556,SABOTINO CAP.,1640
81,542,1,85335,SABOTINO CAP.,1640
82,542,1,85333,SABOTINO CAP.,1640
83,542,17,85189,SABOTINO CAP.,1640
84,542,2,85571,SABOTINO CAP.,1640
85,542,6,85464,SABOTINO CAP.,1640
86,542,2,85004,SABOTINO CAP.,1640
87,542,17,85387,SABOTINO CAP.,1640
88,542,17,85527,SABOTINO CAP.,1640
89,542,1,85350,SABOTINO CAP.,1640
90,542,2,85570,SABOTINO CAP.,1640
91,542,17,85394,SABOTINO CAP.,1640
92,542,17,85360,SABOTINO CAP.,1640
93,542,3,84959,SABOTINO CAP.,1640
94,542,1,85314,SABOTINO CAP.,1640
95,542,4,85548,SABOTINO CAP.,1640
96,542,2,85026,SABOTINO CAP.,1640
97,542,2,85013,SABOTINO CAP.,1640
98,542,6,85433,SABOTINO CAP.,1640
99,542,17,85398,SABOTINO CAP.,1640
100,542,2,85040,SABOTINO CAP.,1640
101,542,3,85448,SABOTINO CAP.,1640
102,542,3,84990,SABOTINO CAP.,1640
103,542,6,85423,SABOTINO CAP.,1640
104,542,4,84952,SABOTINO CAP.,1640
105,542,17,84795,SABOTINO CAP.,1640
106,542,3,85459,SABOTINO CAP.,1640
107,542,3,84999,SABOTINO CAP.,1640
108,542,3,85000,SABOTINO CAP.,1640
109,542,2,85019,SABOTINO CAP.,1640
110,542,17,85056,SABOTINO CAP.,1640
111,542,3,84985,SABOTINO CAP.,1640
112,542,3,85557,SABOTINO CAP.,1640
