route_id,service_id,trip_id,trip_headsign,route_short_name,direction_id,shape_id
542,13,7866,SABOTINO CAP.,,,1640
542,6,7969,SABOTINO CAP.,,,1640
542,13,8156,SABOTINO CAP.,,,1640
542,6,7966,SABOTINO CAP.,,,1640
542,1,8110,SABOTINO CAP.,,,1640
542,6,8421,SABOTINO CAP.,,,1640
542,1,8195,SABOTINO CAP.,,,1640
542,6,8255,SABOTINO CAP.,,,1640
542,14,7983,SABOTINO CAP.,,,1640
542,5,7923,SABOTINO CAP.,,,1640
542,2,8057,SABOTINO CAP.,,,1640
542,13,8164,SABOTINO CAP.,,,1640
542,13,8178,SABOTINO CAP.,,,1640
542,1,8079,SABOTINO CAP.,,,1640
542,2,8316,SABOTINO CAP.,,,1640
542,6,8415,SABOTINO CAP.,,,1640
542,5,7942,SABOTINO CAP.,,,1640
542,13,8114,SABOTINO CAP.,,,1640
542,3,7902,SABOTINO CAP.,,,1640
542,2,8022,SABOTINO CAP.,,,1640
542,6,8248,SABOTINO CAP.,,,1640
542,1,8106,SABOTINO CAP.,,,1640
542,13,8353,SABOTINO CAP.,,,1640
542,6,8263,SABOTINO CAP.,,,1640
542,6,8243,SABOTINO CAP.,,,1640
542,6,8258,SABOTINO CAP.,,,1640
542,3,7879,SABOTINO CAP.,,,1640
542,3,7892,SABOTINO CAP.,,,1640
542,5,7934,SABOTINO CAP.,,,1640
542,13,8180,SABOTINO CAP.,,,1640
542,6,8276,SABOTINO CAP.,,,1640
542,5,8068,SABOTINO CAP.,,,1640
542,5,7949,SABOTINO CAP.,,,1640
542,13,8119,SABOTINO CAP.,,,1640
542,6,8271,SABOTINO CAP.,,,1640
542,1,8111,SABOTINO CAP.,,,1640
542,1,8171,SABOTINO CAP.,,,1640
542,3,7893,SABOTINO CAP.,,,1640
542,3,8389,SABOTINO CAP.,,,1640
542,1,8137,SABOTINO CAP.,,,1640
542,5,8087,SABOTINO CAP.,,,1640
542,2,8310,SABOTINO CAP.,,,1640
542,6,8305,SABOTINO CAP.,,,1640
542,14,7977,SABOTINO CAP.,,,1640
542,3,7916,SABOTINO CAP.,,,1640
542,5,7951,SABOTINO CAP.,,,1640
542,3,7907,SABOTINO CAP.,,,1640
542,3,7881,SABOTINO CAP.,,,1640
542,2,8307,SABOTINO CAP.,,,1640
542,6,8266,SABOTINO CAP.,,,1640
542,2,8029,SABOTINO CAP.,,,1640
542,6,8412,SABOTINO CAP.,,,1640
542,3,8235,SABOTINO CAP.,,,1640
542,1,8365,SABOTINO CAP.,,,1640
542,2,8442,SABOTINO CAP.,,,1640
542,2,8024,SABOTINO CAP.,,,1640
542,6,8250,SABOTINO CAP.,,,1640
542,3,8081,SABOTINO CAP.,,,1640
542,13,8163,SABOTINO CAP.,,,1640
542,14,7981,SABOTINO CAP.,,,1640
542,5,7929,SABOTINO CAP.,,,1640
542,13,8340,SABOTINO CAP.,,,1640
542,14,8014,SABOTINO CAP.,,,1640
542,2,8019,SABOTINO CAP.,,,1640
542,13,8330,SABOTINO CAP.,,,1640
542,1,7863,SABOTINO CAP.,,,1640
542,13,8351,SABOTINO CAP.,,,1640
542,14,8429,SABOTINO CAP.,,,1640
542,3,7919,SABOTINO CAP.,,,1640
542,6,8256,SABOTINO CAP.,,,1640
542,6,8293,SABOTINO CAP.,,,1640
542,6,8269,SABOTINO CAP.,,,1640
542,13,8335,SABOTINO CAP.,,,1640
542,13,8342,SABOTINO CAP.,,,1640
542,2,8314,SABOTINO CAP.,,,1640
542,1,8104,SABOTINO CAP.,,,1640
542,14,7997,SABOTINO CAP.,,,1640
542,14,8017,SABOTINO CAP.,,,1640
542,3,8401,SABOTINO CAP.,,,1640
542,6,8369,SABOTINO CAP.,,,1640
542,2,8041,SABOTINO CAP.,,,1640
542,14,8005,SABOTINO CAP.,,,1640
542,13,8347,SABOTINO CAP.,,,1640
542,3,8226,SABOTINO CAP.,,,1640
542,14,8008,SABOTINO CAP.,,,1640
542,5,7955,SABOTINO CAP.,,,1640
542,5,8088,SABOTINO CAP.,,,1640
542,1,8133,SABOTINO CAP.,,,1640
542,1,8196,SABOTINO CAP.,,,1640
542,2,8036,SABOTINO CAP.,,,1640
542,13,8160,SABOTINO CAP.,,,1640
542,14,8426,SABOTINO CAP.,,,1640
542,5,8406,SABOTINO CAP.,,,1640
542,6,8295,SABOTINO CAP.,,,1640
542,5,7928,SABOTINO CAP.,,,1640
542,13,8346,SABOTINO CAP.,,,1640
542,6,7967,SABOTINO CAP.,,,1640
542,13,8372,SABOTINO CAP.,,,1640
542,3,7883,SABOTINO CAP.,,,1640
542,13,8159,SABOTINO CAP.,,,1640
542,13,8064,SABOTINO CAP.,,,1640
542,3,7906,SABOTINO CAP.,,,1640
542,13,8169,SABOTINO CAP.,,,1640
542,13,8451,SABOTINO CAP.,,,1640
542,5,7939,SABOTINO CAP.,,,1640
542,14,8018,SABOTINO CAP.,,,1640
542,3,7918,SABOTINO CAP.,,,1640
542,3,8075,SABOTINO CAP.,,,1640
542,1,8381,SABOTINO CAP.,,,1640
542,5,7941,SABOTINO CAP.,,,1640
542,3,7895,SABOTINO CAP.,,,1640
542,13,8334,SABOTINO CAP.,,,1640
542,3,7901,SABOTINO CAP.,,,1640
542,13,8101,SABOTINO CAP.,,,1640
542,1,8112,SABOTINO CAP.,,,1640
542,1,8378,SABOTINO CAP.,,,1640
542,3,8224,SABOTINO CAP.,,,1640
542,1,8207,SABOTINO CAP.,,,1640
542,5,8085,SABOTINO CAP.,,,1640
542,1,8220,SABOTINO CAP.,,,1640
542,2,8321,SABOTINO CAP.,,,1640
542,3,8395,SABOTINO CAP.,,,1640
542,14,7998,SABOTINO CAP.,,,1640
542,1,8186,SABOTINO CAP.,,,1640
542,3,7891,SABOTINO CAP.,,,1640
542,13,8327,SABOTINO CAP.,,,1640
542,14,8012,SABOTINO CAP.,,,1640
542,3,7913,SABOTINO CAP.,,,1640
542,14,8004,SABOTINO CAP.,,,1640
542,13,8063,SABOTINO CAP.,,,1640
542,1,8147,SABOTINO CAP.,,,1640
542,14,8427,SABOTINO CAP.,,,1640
542,14,8097,SABOTINO CAP.,,,1640
542,14,8000,SABOTINO CAP.,,,1640
542,5,7924,SABOTINO CAP.,,,1640
542,13,8356,SABOTINO CAP.,,,1640
542,13,8444,SABOTINO CAP.,,,1640
542,13,8446,SABOTINO CAP.,,,1640
542,1,8184,SABOTINO CAP.,,,1640
542,1,8128,SABOTINO CAP.,,,1640
542,6,8298,SABOTINO CAP.,,,1640
542,13,8172,SABOTINO CAP.,,,1640
542,2,8049,SABOTINO CAP.,,,1640
