service_id,date,exception_type
1,20161031,1
9,20161031,1
25,20161031,1
28,20161031,1
40,20161031,1
65,20161031,1
4,20161101,1
22,20161101,1
33,20161101,1
40,20161101,1
51,20161101,1
62,20161101,1
6,20161102,1
19,20161102,1
20,20161102,1
21,20161102,1
23,20161102,1
25,20161102,1
28,20161102,1
32,20161102,1
34,20161102,1
36,20161102,1
37,20161102,1
38,20161102,1
39,20161102,1
40,20161102,1
49,20161102,1
51,20161102,1
52,20161102,1
53,20161102,1
55,20161102,1
57,20161102,1
59,20161102,1
66,20161102,1
67,20161102,1
68,20161102,1
71,20161102,1
72,20161102,1
8,20161103,1
11,20161103,1
14,20161103,1
16,20161103,1
17,20161103,1
18,20161103,1
19,20161103,1
20,20161103,1
21,20161103,1
23,20161103,1
25,20161103,1
28,20161103,1
34,20161103,1
37,20161103,1
38,20161103,1
40,20161103,1
41,20161103,1
42,20161103,1
43,20161103,1
45,20161103,1
48,20161103,1
51,20161103,1
52,20161103,1
53,20161103,1
55,20161103,1
59,20161103,1
60,20161103,1
68,20161103,1
71,20161103,1
72,20161103,1
7,20161104,1
8,20161104,1
11,20161104,1
14,20161104,1
16,20161104,1
17,20161104,1
18,20161104,1
19,20161104,1
20,20161104,1
21,20161104,1
23,20161104,1
25,20161104,1
28,20161104,1
31,20161104,1
32,20161104,1
37,20161104,1
40,20161104,1
42,20161104,1
43,20161104,1
44,20161104,1
49,20161104,1
50,20161104,1
51,20161104,1
52,20161104,1
53,20161104,1
56,20161104,1
66,20161104,1
71,20161104,1
73,20161104,1
3,20161105,1
7,20161105,1
18,20161105,1
20,20161105,1
23,20161105,1
26,20161105,1
28,20161105,1
40,20161105,1
51,20161105,1
52,20161105,1
62,20161105,1
67,20161105,1
73,20161105,1
10,20161106,1
22,20161106,1
33,20161106,1
40,20161106,1
51,20161106,1
62,20161106,1
8,20161107,1
11,20161107,1
13,20161107,1
14,20161107,1
17,20161107,1
19,20161107,1
20,20161107,1
21,20161107,1
23,20161107,1
25,20161107,1
28,20161107,1
32,20161107,1
34,20161107,1
36,20161107,1
40,20161107,1
43,20161107,1
44,20161107,1
51,20161107,1
55,20161107,1
56,20161107,1
60,20161107,1
65,20161107,1
68,20161107,1
71,20161107,1
73,20161107,1
5,20161108,1
8,20161108,1
14,20161108,1
16,20161108,1
17,20161108,1
19,20161108,1
20,20161108,1
21,20161108,1
23,20161108,1
25,20161108,1
28,20161108,1
34,20161108,1
35,20161108,1
37,20161108,1
40,20161108,1
42,20161108,1
43,20161108,1
45,20161108,1
47,20161108,1
49,20161108,1
51,20161108,1
52,20161108,1
53,20161108,1
56,20161108,1
59,20161108,1
60,20161108,1
68,20161108,1
72,20161108,1
8,20161109,1
11,20161109,1
15,20161109,1
16,20161109,1
17,20161109,1
19,20161109,1
20,20161109,1
21,20161109,1
23,20161109,1
25,20161109,1
28,20161109,1
32,20161109,1
34,20161109,1
36,20161109,1
37,20161109,1
38,20161109,1
39,20161109,1
40,20161109,1
47,20161109,1
49,20161109,1
51,20161109,1
52,20161109,1
53,20161109,1
55,20161109,1
57,20161109,1
59,20161109,1
66,20161109,1
67,20161109,1
68,20161109,1
71,20161109,1
72,20161109,1
8,20161110,1
11,20161110,1
14,20161110,1
16,20161110,1
17,20161110,1
19,20161110,1
20,20161110,1
21,20161110,1
23,20161110,1
25,20161110,1
28,20161110,1
34,20161110,1
37,20161110,1
38,20161110,1
40,20161110,1
41,20161110,1
42,20161110,1
43,20161110,1
45,20161110,1
47,20161110,1
48,20161110,1
51,20161110,1
52,20161110,1
53,20161110,1
55,20161110,1
59,20161110,1
60,20161110,1
68,20161110,1
71,20161110,1
72,20161110,1
8,20161111,1
9,20161111,1
11,20161111,1
14,20161111,1
16,20161111,1
17,20161111,1
19,20161111,1
20,20161111,1
21,20161111,1
23,20161111,1
25,20161111,1
28,20161111,1
31,20161111,1
32,20161111,1
37,20161111,1
40,20161111,1
42,20161111,1
43,20161111,1
44,20161111,1
47,20161111,1
49,20161111,1
50,20161111,1
51,20161111,1
52,20161111,1
53,20161111,1
56,20161111,1
66,20161111,1
71,20161111,1
73,20161111,1
3,20161112,1
9,20161112,1
20,20161112,1
23,20161112,1
26,20161112,1
28,20161112,1
40,20161112,1
47,20161112,1
51,20161112,1
52,20161112,1
62,20161112,1
67,20161112,1
73,20161112,1
2,20161113,1
22,20161113,1
33,20161113,1
40,20161113,1
51,20161113,1
62,20161113,1
11,20161114,1
12,20161114,1
13,20161114,1
14,20161114,1
17,20161114,1
19,20161114,1
20,20161114,1
21,20161114,1
23,20161114,1
25,20161114,1
28,20161114,1
32,20161114,1
34,20161114,1
36,20161114,1
40,20161114,1
43,20161114,1
44,20161114,1
51,20161114,1
55,20161114,1
56,20161114,1
60,20161114,1
65,20161114,1
68,20161114,1
71,20161114,1
73,20161114,1
5,20161115,1
12,20161115,1
14,20161115,1
16,20161115,1
17,20161115,1
19,20161115,1
20,20161115,1
21,20161115,1
23,20161115,1
25,20161115,1
28,20161115,1
34,20161115,1
35,20161115,1
37,20161115,1
40,20161115,1
42,20161115,1
43,20161115,1
45,20161115,1
47,20161115,1
49,20161115,1
51,20161115,1
52,20161115,1
53,20161115,1
56,20161115,1
59,20161115,1
60,20161115,1
68,20161115,1
72,20161115,1
11,20161116,1
12,20161116,1
